"","responseid","respid","status","province","cropland_owned","hayland_owned","pastland_owned","cropland_rented","hayland_rented","pastland_rented","totalacres","canola","barley","rye","spring_wheat","beans","peas","flaxseed","lentil","soybeans","corn","oats","sunflower","others","auto_guidance","gps","variable_rate","drones","soil_test","slow_release_fert","rentland_next5yrs","buyland_next5yrs","bothrentbuy_next5yrs","notrentbuy_next5yrs","num_permanent_wl","num_seasonal_wl","own_eqdwl","no_rent_eqdwl","no_own_rent_eqdwl","own_scrapper","own_trackhoe","own_ditch_machine","own_tile_plow","two_out_ten","four_out_ten","six_out_ten","eight_out_ten","ten_out_ten","dont_farm_seasonal_wl","twenty_five_abav","ten_abav","about_average","ten_belav","twenty_five_belav","converted_bush","converted_bush","converted_wetland","converted_nativegrassland","childrenlikely_takeover","nolandwithwetlandconfchoice","nointerestedrentmoreland","rentalpricestoohigh","overalllandquanotattractive","perc_wl_potent_convert","num_wl_convert","num_wlacres_convert","draincost_peracre","rate_increasedeff","rate_landquality","rate_draincost","rate_effonwaterqual","rate_effonnearbyflooding","rate_effsurrlandacc","rate_delayedplanting","rate_weedcontrol","rate_wildlifehabitat","conserwl_mandatorypartsustainagcert","haveenvfarmplan","partbmp","waterqual_veryimport","waterqual_slightlyimport","waterqual_notimport","waterqual_noopinion","floodcont_veryimport","floodcont_slightlyimport","floodcont_notimport","floodcont_noopinion","erosioncont_veryimport","erosioncont_slightlyimport","erosioncont_notimport","erosioncont_noopinion","wildlifehab_veryimport","wildlifehab_slightlyimport","wildlifehab_notimport","wildlifehab_noopinion","numwl_decreasedalot","numwl_slightdecreased","numwl_nochange","numwl_slightincrease","numwl_increasedalot","waterquality_decreasedalot","waterquality_slightdecreased","waterquality_nochange","waterquality_slightincrease","waterquality_increasedalot","conservationpayment_leasteffective","conservationpayment_mosteffective","techassistance_leasteffective","techassistance_mosteffective","extensionprog_leasteffective","extensionprog_mosteffective","conservationeasement_leasteffective","conservationeasement_mosteffective","sustainabilitycert_leasteffective","sustainabilitycert_mosteffective","regulation_leasteffective","regulation_mosteffective","chem_dealer_cropinfo","seeddealer_cropinfo","regagextspecialist_cropinfo","privcropconsultant_cropinfo","univsext_cropinfo","commoditygrps_cropinfo","chem_dealer_conserinfo","seeddealer_conserinfo","regagextspecialist_conserinfo","privcropconsultant_conserinfo","univsext_conserinfo","commoditygrps_conserinfo","sole_proprietorship","partnership","familycorporation","nonfam_corporation","zero_tllage_in2019","continuouscropping_in2019","plowgreencrops_in2019","hvewintercrops_in2019","rotationalgrazing_in2019","infield_wintergrazing_in2019","shelterbelts_in2019","sex","age_18_24","age_25_34","age_35_44","age_45_54","age_55_64","age_65_74","age_75more","age_noresponse","no_schooling","highschool","some_posysecondary","vocationa_diploma","university_degree","donot_know","prop_hhincome_farming","years_farmoperatedfarm","have_children","childrenlikely_takeover"
"1",2,12635,"complete","AB",320,0,0,650,0,0,970,50,0,0,50,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"2","10","30.00",1,3,1,3,2,3,3,3,3,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,80,45,1,1
"2",3,9814,"complete","SK",600,200,100,450,10,100,1700,20,0,0,40,0,20,0,0,0,0,20,0,0,1,0,1,0,1,0,0,0,1,0,0,10,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,"10","30","100.00",4,5,3,4,3,4,4,5,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,30,60,1,1
"3",4,562,"complete","SK",2200,1000,0,0,0,0,3300,45,0,0,45,0,0,10,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,3,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,"3","5","500.00",4,5,5,2,4,5,3,5,2,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,100,118,1,1
"4",5,11444,"complete","AB",1050,60,1070,270,100,300,2980,25,0,0,35,0,0,0,0,0,0,40,0,0,1,0,0,0,0,0,0,1,0,0,3,10,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"3","10","40.00",4,4,4,1,1,2,1,4,2,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,25,45,0,0
"5",6,2580,"complete","SK",3000,0,0,0,0,0,3000,40,5,0,40,0,10,5,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,4,4,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,"4","16","50.00",4,4,3,4,4,4,4,5,4,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,100,70,1,1
"6",7,8029,"complete","SK",1760,0,0,900,0,0,2660,40,20,0,40,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,2,2,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1","1","2000.00",4,4,3,4,4,4,4,4,3,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,100,65,1,0
"7",8,11387,"complete","SK",4120,960,1600,0,0,0,6720,50,0,0,25,0,0,25,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"2","40","0.00",5,5,1,5,5,5,5,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,100,37,0,0
"8",9,1424,"complete","SK",1920,0,110,2400,320,0,4750,40,20,0,25,0,10,0,0,0,0,5,0,0,1,0,1,0,1,0,0,0,1,0,4,8,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,"4","20","200.00",4,4,4,3,3,1,2,3,3,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,80,112,1,1
"9",10,7656,"complete","AB",7000,500,1000,500,70,1000,10570,25,20,0,20,0,10,0,10,0,5,10,0,0,1,0,0,1,1,1,0,1,0,0,10,10,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,"4","500","50.00",3,3,2,3,2,2,3,3,4,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,50,500,1,1
"10",12,2871,"complete","AB",1000,300,500,1000,0,0,2800,50,50,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,10,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,"5","100","500.00",3,3,3,3,1,3,2,3,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,100,25,1,1
"11",13,12415,"complete","SK",9000,1500,3000,7000,100,0,21600,50,20,0,0,0,10,0,20,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,"2","20","50.00",4,5,5,4,3,3,4,5,3,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,100,117,1,0
"12",14,9355,"complete","AB",1000,0,0,0,0,0,1000,50,0,0,50,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"2","5","500.00",4,3,3,3,4,2,4,2,3,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,60,45,1,0
"13",16,507,"complete","AB",100,700,200,56,90,0,2346,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,1,1,1,0,0,1,0,4,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0","0.00",1,5,1,5,5,1,1,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,100,50,0,0
"14",17,11911,"complete","AB",120,120,60,230,130,40,725,0,56,0,0,0,22,0,0,0,0,22,0,0,0,0,0,0,1,1,0,0,1,0,5,10,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,"3","40","200.00",3,4,4,3,3,4,4,3,3,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,90,19,1,1
"15",18,2733,"complete","AB",1250,60,320,240,0,0,2000,40,20,0,20,0,0,0,0,0,10,10,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,"1","1","50.00",3,2,1,1,1,1,2,1,1,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,95,45,1,1
"16",19,5701,"complete","AB",3000,500,500,5000,200,300,11300,20,20,0,40,0,20,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,10,5,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,"100","150","500.00",4,4,4,4,4,4,4,4,4,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,90,25,1,1
