site_ID,Paper,Economic Valuation,Area,Year,Peer Review,...7,Nation,low_lowmid_uppmid_high,Latitude,Longitude,Pop_Density,AgProd,PCGDP,Amphibians,Birds
62,Sandau (Elbe River),1,NA,2004,0,NA,Germany,3,52.7942,12.0511,50.17,122,47477.8,13,169
63,Rogatz (Elbe River),1,NA,2004,0,NA,Germany,3,52.3181,11.7511,30.96,122,47477.8,13,177
19,Golterman (1995) a,0,93000,1995,1,NA,France,3,43.538594,4.55246,10,120,43663,8,206
2,Hao et al. (2012),1,NA,2012,1,NA,China,2,47.5,134.16667,37.196835,148,7752,10,217
44,Wang et al. (2015),0,762600,2015,1,NA,China,2,46.01542,132.1458,9.309196,148,7752,10,204
28,Liu et al.(2011),1,NA,2011,0,NA,China,2,46.74111111,130.1694444,929.156982,148,7752,9,199
64,Zoige,1,NA,1997,1,NA,China,2,33.5783,102.9631,13.08,148,7782,5,210
7,Bo et al. (2013),0,4.2,2013,1,NA,China,2,31.15149519,108.5703453,225.173004,148,7752,13,239
29,Lu et al. (2017),1,NA,2017,1,NA,China,2,22.621085,113.59535,804.452576,148,7752,0,349
9,Drever et al. (2007),1,NA,2007,1,NA,Canada & USA,3,48.997956,-102.797369,0.17458,118,54579,6,166
13,Bortolotti (2016),0,15550,2016,1,NA,Canada,3,51.041111,-102.056111,0.106397,98,51391.7,5,178
12,Berry et al. (2017),1,NA,2017,1,NA,Canada,3,49.55400278,-98.83679722,1.514423,98,51391.7,8,185
69,Ream National Park,1,NA,2005,0,NA,Cambodia,0,10.5331,103.6942,53.38,181,1202,17,351
67,Veun Sean Vill (Stoeng Treng),1,NA,2005,0,NA,Cambodia,0,13.5383,105.9578,167.65,181,1202,25,345
59,Pantanal,1,NA,2004,0,NA,Brazil,2,-17.6406,-57.435,0,135,11026,40,408
22,Jansson et al. (1999),0,13800000,1999,1,NA,Baltic Sea nations,3,59.265881,20.214844,20,104,57921,0,8
14,Colloff et al. (2016) a,0,6000000,2016,1,NA,Australia,3,-35.113509,139.26461,535.584595,115,56842,7,277
8,"Lemly, Kingsford, and Thompson (2000) b",0,NA,2000,1,NA,Australia,3,-29.3224158,149.3133379,0.089397,115,56842,16,236
